flight_no,date_and_time_utc,version_booster,launch_site,payload,payload_mass,orbit,customer,launch_outcome,booster_landing,date_parsable,year,month,day,hour,rocket_type,is_future,days_since_last_launch,is_starlink,booster_reuse_count,launch_site_encoded,payload_mass_category,is_crew_mission,orbit_type_encoded,is_night_launch,cumulative_launch_count,customer_type,launch_success_rate_rolling,booster_landing_success_rate,latitude,longitude
195,1/3/2023 14:56,F9B5B1060‑15,"Cape Canaveral,Slc‑40",Transporter-6(115 Payload Smallsat Rideshare),16300,Sso,Various,Success,Success,TRUE,2023,1,3,14,Falcon 9,FALSE,0,FALSE,0,CC_SLC40,Heavy,FALSE,Low_Earth,FALSE,1,Commercial,1,1,28.562,-80.5772
196,1/10/2023 4:50,F9B5B1076‑2,"Cape Canaveral,Slc‑40",Oneweb 16(40 Satellites),6000,Polarleo,Oneweb,Success,Success,TRUE,2023,1,10,4,Falcon 9,FALSE,6.579167,FALSE,0,CC_SLC40,Medium,FALSE,Low_Earth,TRUE,2,Commercial,1,1,28.562,-80.5772
197,1/15/2023 22:56,Falcon Heavyb5B1070(Core),"Kennedy,Lc‑39A",Ussf-67(Cbas-2&Ldpe-3A),3750,Geo,Ussf,Success,No Attempt,TRUE,2023,1,15,22,Falcon Heavy,FALSE,5.7541666,FALSE,0,K_LC39A,Light,FALSE,Geostationary,FALSE,3,Government,1,1,28.6082,-80.6041
198,1/18/2023 12:24,F9B5B1077‑2,"Cape Canaveral,Slc‑40",Usa-343(Gps-Iii Sv06),4352,Meo,Ussf,Success,Success,TRUE,2023,1,18,12,Falcon 9,FALSE,2.5611112,FALSE,0,CC_SLC40,Light,FALSE,Medium_Earth,FALSE,4,Government,1,1,28.562,-80.5772
199,1/19/2023 15:43,F9B5B1075‑1,"Vandenberg,Slc‑4E",Starlink:Group 2-4(51Satellites),15000,Leo,Spacex,Success,Success,TRUE,2023,1,19,15,Falcon 9,FALSE,1.1381944,TRUE,0,V_SLC4E,Medium,FALSE,Low_Earth,FALSE,5,Internal,1,1,34.632,-120.6108
200,1/26/2023 9:32,F9B5B1067‑9,"Cape Canaveral,Slc‑40",Starlink:Group 5-2(56Satellites),17400,Leo,Spacex,Success,Success,TRUE,2023,1,26,9,Falcon 9,FALSE,6.742361,TRUE,0,CC_SLC40,Heavy,FALSE,Low_Earth,TRUE,6,Internal,1,1,28.562,-80.5772
201,1/31/2023 16:15,F9B5B1071‑7,"Vandenberg,Slc‑4E",Starlink:Group 2-6(49Satellites),15200,Leo,Spacex,Success,Success,TRUE,2023,1,31,16,Falcon 9,FALSE,5.279861,TRUE,0,V_SLC4E,Heavy,FALSE,Low_Earth,FALSE,7,Internal,1,1,34.632,-120.6108
202,2/2/2023 7:58,F9B5B1069‑5,"Kennedy,Lc‑39A",Starlink:Group 5-3(53Satellites),16500,Leo,Spacex,Success,Success,TRUE,2023,2,2,7,Falcon 9,FALSE,1.6548611,TRUE,0,K_LC39A,Heavy,FALSE,Low_Earth,TRUE,8,Internal,1,1,28.6082,-80.6041
203,2/7/2023 1:32,F9B5B1073‑6,"Cape Canaveral,Slc‑40",Amazonas Nexus,4146,Gto,Hispasat,Success,Success,TRUE,2023,2,7,1,Falcon 9,FALSE,4.7319446,FALSE,0,CC_SLC40,Light,FALSE,Geostationary,TRUE,9,Commercial,1,1,28.562,-80.5772
204,2/12/2023 5:10,F9B5B1062‑12,"Cape Canaveral,Slc‑40",Starlink:Group 5-4(55Satellites),17100,Leo,Spacex,Success,Success,TRUE,2023,2,12,5,Falcon 9,FALSE,5.151389,TRUE,0,CC_SLC40,Heavy,FALSE,Low_Earth,TRUE,10,Internal,1,1,28.562,-80.5772
